name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
A J Gallacher,a-j-gallacher,BG/4 RAB2 K2 RAB2 K6 DR14 R2 DR2 R2 DR2 R40 W8 RAB2 W6 RAB4 W6 RAB4 W4 RAB6 W4 RAB6 W2 RAB8 W2 BG/6,R#FF0000 DR#B22222 K#101010 BG#2E8B57 W#FCFCFC RAB#0000FF,#2E8B57|#0000FF|#101010|#B22222|#FF0000|#FCFCFC,yes,282,C_dual_register_scrape,
Abaco Loyalist,abaco-loyalist,B/120 R4 B4 R12 B2 R4 B2 R12 B2 R4 B2 R12 B4 N/4,N#CCBAAF R#B62531 B#3B5554,#3B5554|#B62531|#CCBAAF,yes,252,C_dual_register_scrape,
Abadia Da Cova,abadia-da-cova,G/60 LG2 G6 DR60 K2 Y/6,K#101010 W#E0E0E0 SB#A8ACE8 Y#E8C000 G#006818 DR#880000 LG#289C18,#006818|#289C18|#880000|#101010|#E8C000|#E0E0E0|#A8ACE8,yes,206,B_one_independent_archive,tartans-authority
Abbotsford Check,abbotsford-check,G/10 K4 W6 K6 DY4 B8 K6 W6 K6 W6 K6 W6 K6 W6 K6 W6 K6 G8 R6 G6 W4 G4 K/10,K#101010 B#2C2C80 DY#E8C000 G#006818 R#C80000 W#E0E0E0,#006818|#101010|#E0E0E0|#E8C000|#2C2C80|#C80000,yes,264,C_dual_register_scrape,
Abel (2015),abel-2015,B44 G44 W12 B8 Y14 G40 B48 K40 LR4 N48 K12 N48 LR4 K40,G#007800 W#FCFCFC B#2C2C80 K#101010 N#A0A0A0 Y#FCCC00 LR#E87878,#2C2C80|#007800|#FCFCFC|#FCCC00|#101010|#E87878|#A0A0A0,no,406,C_dual_register_scrape,
Abercrombie,abercrombie,G/56 W4 G28 K28 B8 K8 B8 K8 B/28,DG#003820 K#101010 B#2C2C80 G#006818 W#E0E0E0,#006818|#E0E0E0|#101010|#2C2C80|#003820,yes,268,C_dual_register_scrape,
Abercrombie (McKinlay),abercrombie-mckinlay,K/4 B16 R2 K28 G28 W2 G28 R2 K/24,K#101010 B#2C4084 R#DC0000 G#005020 W#E0E0E0,#101010|#2C4084|#DC0000|#005020|#E0E0E0,yes,240,B_one_independent_archive,weddslist
Abercrombie (Wilsons No 2/64),abercrombie-wilsons-no-2-64,K/4 P24 K24 G24 Y4 G24 K/24,K#101010 P#5A008C G#005020 Y#E8C000,#101010|#5A008C|#005020|#E8C000,yes,228,B_one_independent_archive,weddslist
Aberdeen,aberdeen,WW4 C6 R46 WW4 K32 LG8 WW2 R12 C6 WW2 C6 R12 WW2 A20 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 P12 A8 WW4 A8 P12 WW4 K32 LG8 WW4 LG8 K32 WW4 P12 A8 WW4 A8 P12 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 A20 WW2 R12 C6 WW2 C6 R12 WW2 LG8,P#780078 A#5C8CA8 LG#289C18 K#101010 R#C80000 C#A00048 WW#FCFCFC,#FCFCFC|#A00048|#C80000|#101010|#289C18|#5C8CA8|#780078,no,796,C_dual_register_scrape,
Aberdeen (Johnston and Smith),aberdeen-johnston-and-smith,K/2 MP8 W26 MP2 K10 P8 W2 P8 K10 W2 K6 R10 N6 W2 N6 R10 K26 R2 W40 N6 R/2,K#101010 MP#500050 W#E0E0E0 P#5A008C R#DC0000 N#808080,#101010|#500050|#E0E0E0|#5A008C|#DC0000|#808080,yes,384,C_dual_register_scrape,
Aberfeldy,aberfeldy,W/4 AB4 K4 A4 AB64 RR4 AB4 RR4 K26 AB4 AG32 RR4 AG4 W/4,AB#506878 A#5C8CA8 RR#901C38 AG#007460 W#E0E0E0 K#101010,#E0E0E0|#506878|#101010|#5C8CA8|#901C38|#007460,yes,324,B_one_independent_archive,tartans-authority
Abergavenny,abergavenny,AW/18 K22 AW8 FG4 K48 AW4 LN4 K6 FG4 LN4 AW12 FG24 K8 LN6 AW4 K41 AW/36,AW#E8CCB8 K#101010 FG#A07C58 LN#C0C0C0,#E8CCB8|#101010|#A07C58|#C0C0C0,yes,452,C_dual_register_scrape,
Aberlour,aberlour,LT/10 ST46 K44 AW8 K8 AW8 K8 AW/46,AW#E8CCB8 AS#CC4438 SR#A03400 BR#B03000 K#101010 LT#A08858 ST#98481C,#A08858|#98481C|#101010|#E8CCB8|#CC4438|#A03400|#B03000,yes,300,B_one_independent_archive,tartans-authority
"Abernethy (Colerain, USA)",abernethy-colerain-usa,Y/2 B28 R56 HG28 R2 G28 Y/2,Y#E0A126 HG#355F3B G#203B27 R#EC0416 B#0B148E,#E0A126|#0B148E|#EC0416|#355F3B|#203B27,yes,288,B_one_independent_archive,tartans-authority
Aberuchill,aberuchill,LP/8 K2 OT10 DP30 OT30 G55 K4 O/6,LP#B468AC K#101010 OT#603800 DP#440044 G#006818 O#D87C00,#B468AC|#101010|#603800|#440044|#006818|#D87C00,yes,276,B_one_independent_archive,tartans-authority
Aboyne,aboyne,DR/8 MY12 DR22 MY64 K16 E22 DW2 K16 MY8 DR56 MY2 K2 MY/24,K#101010 DR#880000 E#4C3428 MY#D09800 DW#B8B8B8,#880000|#D09800|#101010|#4C3428|#B8B8B8,yes,476,C_dual_register_scrape,
Aceo,aceo,K/4 LG20 N10 LG40 N10 Y6 N14 K6 N14 K8 N8 W/4,K#101010 N#646464 Y#BC8C00 LG#789484 W#FCFCFC,#101010|#789484|#646464|#BC8C00|#FCFCFC,yes,280,C_dual_register_scrape,
Agincourt,agincourt,MY/8 NB116 K24 MY28 K24 NB8 MY16 K24 NB8 MY4 NB4 MY12 K4 MY/16,K#101010 MY#D09800 NB#003C64,#D09800|#003C64|#101010,yes,568,C_dual_register_scrape,
Agnew,agnew,B/106 G84 R/28,B#2C2C80 G#006818 R#C80000,#2C2C80|#006818|#C80000,yes,302,B_one_independent_archive,tartans-authority
Ailsa Craig,ailsa-craig,R/10 WW4 N40 DY4 K32 WW36 K4 WW/10,K#101010 DY#E8C000 DN#5C5C5C W#E0E0E0 XR#C80000 N#888888 R#C80000 WW#FCFCFC,#C80000|#FCFCFC|#888888|#E8C000|#101010|#5C5C5C|#E0E0E0,yes,260,A_two_plus_independent_archives,weddslist; tartans-authority
Ailsa Gold,ailsa-gold,W/8 P6 W64 MY56 W6 MY/16,W#F0E0C8 P#780078 MY#F8B400,#F0E0C8|#780078|#F8B400,yes,288,B_one_independent_archive,tartans-authority
Ailsa Navy,ailsa-navy,RB/16 W6 RB56 W64 K6 W/8,W#F0E0C8 RB#1C0070 K#101010,#1C0070|#F0E0C8|#101010,yes,288,B_one_independent_archive,tartans-authority
Ailsa Pink,ailsa-pink,CLR/16 W6 CLR56 W64 K6 W/8,W#F0E0C8 CLR#E87878 K#101010,#E87878|#F0E0C8|#101010,yes,288,B_one_independent_archive,tartans-authority
Ailsa Red,ailsa-red,SCR/16 DR6 SCR56 W64 DR6 W/8,XR#D40000 W#F0E0C8 DR#880000 SCR#C8002C,#C8002C|#880000|#F0E0C8|#D40000,yes,288,C_dual_register_scrape,
Ailsa Royal Blue,ailsa-royal-blue,B/16 A6 B56 W64 NB6 W/8,W#F0E0C8 B#2C2C80 NB#003C64 A#5C8CA8,#2C2C80|#5C8CA8|#F0E0C8|#003C64,yes,288,B_one_independent_archive,tartans-authority
"Ailsa, Grey",ailsa-grey,G/6 W2 N2 W2 N2 DN50 N18 W18 N/18,DN#5C5C5C G#00881C N#888888 W#E0E0E0,#00881C|#E0E0E0|#888888|#5C5C5C,yes,212,B_one_independent_archive,tartans-authority
Ainslie,ainslie,B/48 K12 B8 R8 B8 R48 WW8 K4 WW/8,K#101010 B#2C2C80 R#C80000 WW#FCFCFC,#2C2C80|#101010|#C80000|#FCFCFC,yes,248,B_one_independent_archive,tartans-authority
Ainslie #2,ainslie-2,DR/24 K8 DR8 K16 DR8 K8 DR24 G72 DR8 MY4 DR8 K8 DR40 CW4 DR/8,K#101010 CW#FCFCFC DR#880000 G#006818 MY#D09800,#880000|#101010|#006818|#D09800|#FCFCFC,yes,464,C_dual_register_scrape,
"Ainslie, Lake",ainslie-lake,B/6 R2 DY6 R4 G20 CW20 B/12,B#2C2C80 CW#FCFCFC DY#E8C000 G#006818 R#C80000,#2C2C80|#C80000|#E8C000|#006818|#FCFCFC,yes,122,B_one_independent_archive,weddslist
Aisteach,aisteach,K/4 P14 R12 K8 R28 G32 P/64,P#3D2E60 G#005020 R#97342F K#1C1714,#1C1714|#3D2E60|#97342F|#005020,yes,256,C_dual_register_scrape,
Aitken,aitken,R/8 K4 R40 K32 B24 K4 B4 Y/10,B#00008C R#880000 Y#C88C00 K#000000,#880000|#000000|#00008C|#C88C00,yes,234,B_one_independent_archive,tartans-authority
Aiton / Ayton,aiton-ayton,B/12 K2 G6 K2 B6 K2 G20 R/6,K#101010 B#2C2C80 G#006818 R#C80000,#2C2C80|#101010|#006818|#C80000,yes,94,C_dual_register_scrape,
Akins Clan (Personal),akins-clan-personal,LB/6 G44 DB38 M6 C6 M6 C6 M/42,LB#82CFFD G#008000 DB#00008C M#800000 C#DC143C,#82CFFD|#008000|#00008C|#800000|#DC143C,yes,260,A_two_plus_independent_archives,weddslist; tartans-authority
Akins Red Dress,akins-red-dress,G/12 R8 G10 R26 K26 W10 K26 R26 Y/12,R#C8002C G#006818 K#101010 W#FCFCFC Y#FFD700,#006818|#C8002C|#101010|#FCFCFC|#FFD700,yes,288,C_dual_register_scrape,
Akins of Candler (Personal),akins-of-candler-personal,G/24 R4 G4 R4 K24 B24 Y4 B24 K4 G22 R4 G/4,Y#E8C000 B#2C2C80 BL#1474B4 K#101010 R#C80000 G#006818,#006818|#C80000|#101010|#2C2C80|#E8C000|#1474B4,yes,264,C_dual_register_scrape,
Akintiev (2014),akintiev-2014,B/44 W10 K18 B40 N28 K18 N22 R/2,B#2C2C80 W#FCFCFC K#101010 N#808080 R#DC0000,#2C2C80|#FCFCFC|#101010|#808080|#DC0000,yes,318,B_one_independent_archive,tartans-authority
Al-Fadhli (Personal),al-fadhli-personal,B6 MG6 B48 K68 W2 K68 B48 R6 B6 W6,B#2C4084 MG#003C14 K#101010 W#E0E0E0 R#DC0000,#2C4084|#003C14|#101010|#E0E0E0|#DC0000,no,264,C_dual_register_scrape,
Al-Maktoum,al-maktoum,R/10 G24 R10 G24 R64 WW/22,DR#880000 G#006818 DW#B8B8B8 R#C80000 WW#FCFCFC,#C80000|#006818|#FCFCFC|#880000|#B8B8B8,yes,276,B_one_independent_archive,tartans-authority
Alabama (Provisional),alabama-provisional,W/6 LRB4 W4 LRB4 W2 LRB50 NB8 N8 A2 N2 A2 N8 NB8 RR2 NB2 RR6 NB2 RR2 NB8 W2 NB4 W6 R/10,W#E0E0E0 B#2C2C80 NB#003C64 N#888888 A#5C8CA8 RR#901C38 DCR#A00048 LRB#1474B4 R#C80000,#E0E0E0|#1474B4|#003C64|#888888|#5C8CA8|#901C38|#C80000|#2C2C80|#A00048,yes,288,B_one_independent_archive,tartans-authority
"Alabama, University of",alabama-university-of,R/64 K4 N6 W8 N6 K4 R44 K2 R10 K4 W12 K4 R8 W/10,W#FCFCFC R#960000 K#101010 N#EEEEEE,#960000|#101010|#EEEEEE|#FCFCFC,yes,298,C_dual_register_scrape,
Alan Stone Family (Personal),alan-stone-family-personal,R/4 W12 K24 B72 N24 Y/2,B#2C4084 K#101010 N#8C8C8C R#B22222 Y#CDAD00 W#FCFCFC,#B22222|#FCFCFC|#101010|#2C4084|#8C8C8C|#CDAD00,yes,270,C_dual_register_scrape,
Alasdair Dhana,alasdair-dhana,DG/6 BN40 DG32 DR4 DG4 DR6 DG6 DR10 DG32 BN40 DY2 K/4,BN#14283C R#C80000 DG#003820 DY#E8C000 K#101010 B#2C2C80 DR#880000 S#C8002C,#003820|#14283C|#880000|#E8C000|#101010|#C80000|#2C2C80|#C8002C,yes,362,B_one_independent_archive,tartans-authority
Alaskan Scottish,alaskan-scottish,W/8 B2 G8 B2 G2 B2 G2 B18 R18 B2 Y8 B2 R18 B18 G18 B2 W/8,R#DD1212 G#003014 Y#D3CC20 W#F7F1E8 B#3C82AF,#F7F1E8|#3C82AF|#003014|#DD1212|#D3CC20,yes,260,B_one_independent_archive,tartans-authority
Alberta,alberta,B16 G8 K8 B1 K1 B1 K1 B1 K1 B1 K1 B1 K1 B1 K1 B20 K4 G12 K24 T8 B1 T1 B1 T1 B1 T1 B1 T1 B1 T1 B1 T1 B28 T6 K4 G50,B#2C4084 G#005020 K#101010 T#503C14,#2C4084|#005020|#101010|#503C14,no,212,C_dual_register_scrape,
Alberta (Province),alberta-province,YT/32 K8 FSB16 K8 CLR8 K8 G/104,K#101010 CLR#E87878 FSB#2474E8 G#006818 YT#D8B000,#D8B000|#101010|#2474E8|#E87878|#006818,yes,232,C_dual_register_scrape,
Alberta Dress,alberta-dress,WW/8 G6 WW38 G16 K2 DR8 K2 BB36 K2 MY/4,K#101010 DR#880000 G#006818 LN#C0C0C0 MY#D09800 RB#1C0070 FSB#2474E8 WW#FCFCFC BB#38409C,#FCFCFC|#006818|#101010|#880000|#38409C|#D09800|#C0C0C0|#1C0070|#2474E8,yes,232,B_one_independent_archive,tartans-authority
"Alberta, Quebec, Nova Scotia.",alberta-quebec-nova-scotia,B8 G20 K4 B4 W28 K4 G4 K4 G4 K4 G4 K4 G4 K4 B50 W16 G8 K8 B6 K2 B6 K2,B#2C4084 G#005020 K#101010 W#E0E0E0,#2C4084|#005020|#101010|#E0E0E0,no,198,B_one_independent_archive,weddslist
"Albuquerque, City of",albuquerque-city-of,R/4 G24 B4 G16 B36 WW6 R4 WW/4,R#C80000 G#006818 B#2C2C80 WW#FCFCFC,#C80000|#006818|#2C2C80|#FCFCFC,yes,188,B_one_independent_archive,tartans-authority
Alegre-Wood (Personal),alegre-wood-personal,AB/4 GO4 T2 GO2 T24 DR12 O4 DR/160,Y#E8C000 AB#1870A4 GO#BC8C00 DR#880000 T#604000 O#D87C00 LT#CC4438,#1870A4|#BC8C00|#604000|#880000|#D87C00|#E8C000|#CC4438,yes,260,B_one_independent_archive,tartans-authority
Alexander (brothers),alexander-brothers,DR/30 DN40 DW12 K8 DN20 DW44 K56 DN12 DR12 DW44 DN12 DR4 DW24 K4 DW6 DN/20,DR#880000 DN#646C64 K#000000 DW#B0B0B0,#880000|#646C64|#B0B0B0|#000000,yes,646,C_dual_register_scrape,
Alexander of Menstry,alexander-of-menstry,G/10 MP4 G4 MP18 K18 LN18 B60 WW/10,LN#A0A0A0 LB#2888C4 WW#FCFCFC N#888888 K#101010 MP#9C68A4 G#006818 B#2C2C80,#006818|#9C68A4|#101010|#A0A0A0|#2C2C80|#FCFCFC|#2888C4|#888888,yes,264,B_one_independent_archive,tartans-authority
Alexander of Menstry Dress,alexander-of-menstry-dress,G/10 P4 G4 P18 K18 LN18 WW60 B/10,B#2C2C80 WW#FCFCFC LN#A0A0A0 K#101010 P#780078 G#006818,#006818|#780078|#101010|#A0A0A0|#FCFCFC|#2C2C80,yes,264,C_dual_register_scrape,
Alexander of Menstry Hunting,alexander-of-menstry-hunting,LP/10 WG4 LP4 WG52 K18 LN18 LSB26 WW/10,A#5C8CA8 LP#B468AC CLR#E87878 WW#FCFCFC B#2C2C80 LN#A0A0A0 N#888888 K#101010 G#006818 P#780078 WG#408060 LSB#98C8E8,#B468AC|#408060|#101010|#A0A0A0|#98C8E8|#FCFCFC|#5C8CA8|#E87878|#2C2C80|#888888|#006818|#780078,yes,264,C_dual_register_scrape,
Algarve,algarve,B/20 W20 R20 HG/20,B#2C2C80 HG#285800 R#C80000 W#E0E0E0,#2C2C80|#E0E0E0|#C80000|#285800,yes,120,B_one_independent_archive,tartans-authority
Alison / Allison,alison-allison,B/6 K6 B24 K36 G28 K4 G28 K16 Y4 K16 A8 R8 K4 W/6,B#2C4084 K#101010 G#005020 Y#E8C000 A#3C82AF R#DC0000 W#E0E0E0,#2C4084|#101010|#005020|#E8C000|#3C82AF|#DC0000|#E0E0E0,yes,376,B_one_independent_archive,weddslist
"Alister Grant 'Mohr', the Laird's Champion",alister-grant-mohr-the-lairds-champion,G/60 K8 LG20 K8 R10 LG10 R/30,K#101010 R#B13E0F G#777733 LG#BDBD65,#777733|#101010|#BDBD65|#B13E0F,yes,202,C_dual_register_scrape,
All Breeds Dairy Goats,all-breeds-dairy-goats,RB/10 R10 K36 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT27 W26 EG10 LY/10,RB#000064 R#DC0000 K#101010 LT#BE7832 W#E0E0E0 EG#00C814 LY#FADC00,#000064|#DC0000|#101010|#BE7832|#E0E0E0|#00C814|#FADC00,yes,296,C_dual_register_scrape,
All Ireland Blue,all-ireland-blue,AA/12 LSB4 B4 AA60 WG4 AA4 GO4 LG8 GO4 WG4 GO2 WG36 GO2 LSB4 B4 GO/8,B#2C2C80 DB#202060 GO#E8C000 G#006818 LB#2888C4 LG#289C18 LSB#98C8E8 AA#506494 GN#406054 WG#408060,#506494|#98C8E8|#2C2C80|#408060|#E8C000|#289C18|#202060|#006818|#2888C4|#406054,yes,308,B_one_independent_archive,tartans-authority
All Ireland Green,all-ireland-green,G/12 LG4 DR4 G60 N4 LG8 N4 DG4 N2 DG40 N2 LG4 DR/8,DG#003820 DR#880000 G#006818 LG#289C18 N#C8C8C8,#006818|#289C18|#880000|#C8C8C8|#003820,yes,292,B_one_independent_archive,tartans-authority
All Ireland Red,all-ireland-red,R/12 AA4 DB4 R60 G4 R4 LG8 R4 G4 R2 G40 R2 AA4 DB4 R/8,B#2C2C80 DB#202060 G#006818 LG#289C18 R#C80000 LSB#98C8E8 AA#789484 OG#5C6428,#C80000|#789484|#202060|#006818|#289C18|#2C2C80|#98C8E8|#5C6428,yes,308,B_one_independent_archive,tartans-authority
All as One,all-as-one,K/22 LB76 R22 G22 K/10,R#C80000 G#006818 LB#2888C4 K#101010,#101010|#2888C4|#C80000|#006818,yes,272,B_one_independent_archive,tartans-authority
All breeds Dairy Goats (Version 2),all-breeds-dairy-goats-version-2,B/10 R10 K16 W4 K16 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT22 W24 EG10 Y/10,B#2C4084 R#DC0000 K#101010 W#E0E0E0 LT#BE7832 EG#00C814 Y#E8C000,#2C4084|#DC0000|#101010|#E0E0E0|#BE7832|#00C814|#E8C000,yes,276,C_dual_register_scrape,
Allanton,allanton,A/8 G32 Y4 B14 A56 W/8,W#E0E0E0 B#2C2C80 Y#E8C000 G#006818 A#5C8CA8,#5C8CA8|#006818|#E8C000|#2C2C80|#E0E0E0,yes,228,B_one_independent_archive,tartans-authority
Allanton Dress,allanton-dress,G/8 A34 Y4 B28 W56 G/8,A#5C8CA8 B#2C2C80 G#006818 W#E0E0E0 Y#E8C000,#006818|#5C8CA8|#E8C000|#2C2C80|#E0E0E0,yes,260,B_one_independent_archive,tartans-authority
Allen (1996),allen-1996,G/32 CW4 G4 DR4 G16 K16 RB32 K4 RB4 K/4,K#101010 CW#FCFCFC DR#880000 G#006818 RB#1C0070,#006818|#FCFCFC|#880000|#101010|#1C0070,yes,204,B_one_independent_archive,tartans-authority
Allen (1998),allen-1998,G/4 R4 G24 K8 B22 R4 B22 K8 B4 K18 B4 K18 B4 K8 B22 DY4 B22 K8 G24 R4 G/4,K#101010 B#304C78 DY#E8C000 G#006818 R#C80000,#006818|#C80000|#101010|#304C78|#E8C000,yes,472,B_one_independent_archive,tartans-authority
Allen Hunting (?Thomson),allen-hunting-thomson,LB/88 R4 AY16 LB16 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY36 T96 B/8,AY#DC943C B#2C2C80 T#604000 LB#2888C4 R#C80000,#2888C4|#C80000|#DC943C|#604000|#2C2C80,yes,576,B_one_independent_archive,weddslist
Alliance of Border Scots,alliance-of-border-scots,G/8 K48 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 K48 GO8 K48 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 K48 G/8,K#000000 OT#64340C LN#ACACAC HG#184800 GO#9C8000 G#006818 WW#FCFCFC W#E0E0E0,#006818|#000000|#E0E0E0|#64340C|#9C8000|#ACACAC|#184800|#FCFCFC,yes,768,C_dual_register_scrape,
Allison (1882),allison-1882,DB/64 Y3 G12 K3 G12 W3 DB15 B4 R21 DB3 Y/2,DB#080848 Y#E8C000 G#005020 K#101010 W#E0E0E0 B#2C4084 R#DC0000,#080848|#E8C000|#005020|#101010|#E0E0E0|#2C4084|#DC0000,yes,218,B_one_independent_archive,weddslist
Allison (MacBean and Bishop),allison-macbean-and-bishop,B/6 K4 B24 K36 G28 K4 G28 K16 Y4 K16 A8 R8 K4 W/6,B#2C4084 K#101010 G#005020 Y#E8C000 A#3C82AF R#DC0000 W#E0E0E0,#2C4084|#101010|#005020|#E8C000|#3C82AF|#DC0000|#E0E0E0,yes,372,C_dual_register_scrape,
Allison (MacGregor-Hastie),allison-macgregor-hastie,B/4 K4 B32 K30 DY4 G32 K4 G32 W4 K34 RB8 LR12 K6 DY/4,K#101010 DY#E8C000 G#006818 LB#2888C4 LR#D05054 RB#1C0070 W#E0E0E0 BB#3850C8 B#2C2C80,#2C2C80|#101010|#E8C000|#006818|#E0E0E0|#1C0070|#D05054|#2888C4|#3850C8,yes,412,B_one_independent_archive,tartans-authority
Allt Dubh (Black Burn),allt-dubh-black-burn,K/198 RR10 K8 RR6 K4 OG/2,K#101010 RR#901C38 OG#5C6428,#101010|#901C38|#5C6428,yes,256,B_one_independent_archive,tartans-authority
Alyssa's Theme,alyssas-theme,B/4 K26 B16 K4 R2 N2 R42 K2 R2 N4 K16 R26 K/4,K#000000 R#800000 N#7C7C7C B#38558F,#38558F|#000000|#800000|#7C7C7C,yes,292,B_one_independent_archive,tartans-authority
Amarillo,amarillo,NB/72 K8 WG8 NB36 K16 G36 ZR16 NB36 WG8 K8 GO/4,K#101010 GO#BC8C00 G#006818 NB#003C64 ZR#A00000 WG#408060,#003C64|#101010|#408060|#006818|#A00000|#BC8C00,yes,420,B_one_independent_archive,tartans-authority
Amazing Union (Personal),amazing-union-personal,WMR/8 DT60 DG48 DT8 DB48 DT8 DG48 DT60 GO/8,GO#A47800 DB#101034 DG#003820 NB#003C64 WMR#A80020 DT#441800,#A80020|#441800|#003820|#101034|#A47800|#003C64,yes,576,B_one_independent_archive,tartans-authority
America (Eagle version),america-eagle-version,B10 R4 B10 W14 B64 W14 R26 B6 R26 W4,B#2C2C80 R#C80000 W#E0E0E0,#2C2C80|#C80000|#E0E0E0,no,178,C_dual_register_scrape,
American,american,BB/8 R84 BB4 WW16 BB28 WW8 BB8 WW8 R/8,BB#00008C R#A00000 WW#C8C8C8,#00008C|#A00000|#C8C8C8,yes,328,B_one_independent_archive,tartans-authority
American Bi-Centennial,american-bi-centennial,B/28 A4 W4 A4 B40 K40 R34 W8 R6 W6 R6 W6 R/10,A#5C8CA8 K#101010 B#2C2C80 R#C80000 W#E0E0E0,#2C2C80|#5C8CA8|#E0E0E0|#101010|#C80000,yes,354,C_dual_register_scrape,
American Express,american-express,RB/8 FSB36 DR4 RB20 G20 LN/8,RB#000064 G#007800 DR#880000 LN#C8C8C8 FSB#3474FC,#000064|#3474FC|#880000|#007800|#C8C8C8,yes,176,B_one_independent_archive,tartans-authority
American National,american-national,K/6 R6 HG8 B14 K6 BN78 B30 WW/6,K#101010 WW#FCFCFC R#C80000 B#2C2C80 HG#285800 BN#14283C,#101010|#C80000|#285800|#2C2C80|#14283C|#FCFCFC,yes,296,B_one_independent_archive,tartans-authority
"American Society of Travel Agents, The",american-society-of-travel-agents-the,B/4 N20 B2 N2 B20 R2 B20 G20 W/4,N#888888 R#C80000 B#2C2C80 G#006818 W#E0E0E0,#2C2C80|#888888|#C80000|#006818|#E0E0E0,yes,180,C_dual_register_scrape,
"American Society of Travel Agents, The (2001)",american-society-of-travel-agents-the-2001,MB/4 N32 MB4 N4 MB32 LLC6 MB32 MG4 MB3 MG32 W/4,MB#141E46 N#808080 LLC#FA6496 MG#003C14 W#E0E0E0,#141E46|#808080|#FA6496|#003C14|#E0E0E0,yes,306,C_dual_register_scrape,
American St Andrews Societies,american-st-andrews-societies,B/30 SB4 W16 SB4 B84 K84 R84 W16 R8 W8 R8 W8 R/20,K#101010 DR#880000 BB#3850C8 SB#A8ACE8 W#E0E0E0 LRB#1474B4 B#2C2C80 R#C80000,#2C2C80|#A8ACE8|#E0E0E0|#101010|#C80000|#880000|#3850C8|#1474B4,yes,698,C_dual_register_scrape,
Amnesty,amnesty,DB42 K5 DB42 DO32 G42 GO5 G42 DO32 DB42 W5 DB42 DO32 G42 T5 G42 DO32,XR#C80000 K#101010 DB#202060 T#604000 YT#ECB034 G#005010 W#E0E0E0 CC#EC34C4 GO#BC8C00 DO#B84C00,#202060|#101010|#B84C00|#005010|#BC8C00|#E0E0E0|#604000|#C80000|#ECB034|#EC34C4,no,484,B_one_independent_archive,tartans-authority
Ancient Atlantic,ancient-atlantic,WW/4 B24 T20 K4 B24 Y/4,K#101010 DT#441800 LN#C0C0C0 MY#D09800 RB#1C0070 WW#FCFCFC DY#E8C000 T#604000 B#2C2C80 Y#E8C000,#FCFCFC|#2C2C80|#604000|#101010|#E8C000|#441800|#C0C0C0|#D09800|#1C0070,yes,152,C_dual_register_scrape,
Ancient Atlantic (SINDEX),ancient-atlantic-sindex,LN/6 RB34 DT32 BN4 DG34 MY/4,BN#14283C DT#441800 DG#003820 LN#C0C0C0 MY#D09800 RB#1C0070,#C0C0C0|#1C0070|#441800|#14283C|#003820|#D09800,yes,218,B_one_independent_archive,tartans-authority
Ancient Caledonian Society,ancient-caledonian-society,R/80 G32 Y4 K16 A8 W2 B10 W/4,A#789484 K#101010 R#C80000 W#FCFCFC Y#E8C000 G#006818 B#2C2C80,#C80000|#006818|#E8C000|#101010|#789484|#FCFCFC|#2C2C80,yes,228,C_dual_register_scrape,
Anderson,anderson,R/6 AL12 R4 K4 R4 AL36 K6 W6 K6 DY4 K4 DY4 K8 R4 B8 R6 G12 R4 G12 R/8,AL#48A4C0 K#101010 GO#BC8C00 DG#003820 NB#003C64 R#C80000 W#E0E0E0 B#2C2C80 DY#E8C000 G#006818,#C80000|#48A4C0|#101010|#E0E0E0|#E8C000|#2C2C80|#006818|#BC8C00|#003820|#003C64,yes,302,B_one_independent_archive,tartans-authority
Anderson (Coulson Bonner #1),anderson-coulson-bonner-1,K/6 DR14 K8 T14 R6 T14 K8 G6 K6 G38 K4 G4 K4 R/6,K#101010 DR#960000 T#503C14 R#DC0000 G#005020,#101010|#960000|#503C14|#DC0000|#005020,yes,264,C_dual_register_scrape,
Anderson (Coulson Bonner #2),anderson-coulson-bonner-2,R/6 LB12 K2 R4 K2 LB28 K6 W6 K6 Y4 K4 Y4 K4 R4 DB10 R4 G12 K2 R4 K2 G12 R/6,R#DC0000 LB#0596FA K#101010 W#E0E0E0 Y#E8C000 DB#080848 G#005020,#DC0000|#0596FA|#101010|#E0E0E0|#E8C000|#080848|#005020,yes,276,C_dual_register_scrape,
