name,slug,threadcount,palette,symmetric,thread_total,sources_verifying,verified_by,colour_agreement,primary_source,dissenting_sources,origin_url,stwr_ref,sta_ref,designer,tartan_date,register_category,restrictions,seo_search_volume
University of Dundee,university-of-dundee,W/2 DB24 GO2 DB10 B70 R18 GO2 R12 N8 DB/10,WW#F8F8F8 WILSON WHITE; W#E0E0E0 WHITE; P#780078 PURPLE; DB#1C1C50 DARK BLUE; B#2C2C80 BLUE; GO#BC8C00 DARK GOLD; R#C80000 RED; N#888888 GRAY;,yes,304,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4403,,7169,"Brown, Jonathan",01/01/2007,Corporate,,
University of Edinburgh,university-of-edinburgh,W/4 K5 W4 B110 K22 WR26 K/8,W#E0E0E0 WHITE; WR#780028 WINE RED; B#484C68 BLUE; K#101010 BLACK;,yes,346,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5554,,7516,"Nicolson, Gordon",08/09/2007,Corporate,,
University of Georgia,university-of-georgia,K/12 XR62 K2 XR12 K2 WW4 K2 XR8 K12 XR4 K62 XR/12,XR#D40000 BASIC RED; K#101010 BLACK; WW#F8F8F8 WILSON WHITE;,yes,364,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5687,,7688,"Newsome, Matthew",,Corporate,,
University of North Texas,university-of-north-texas,K/2 LG6 W6 G30 K2 G6 LG4 K2 LG2 VLG2 W/2,G#007800 GREEN; W#FFFFFF WHITE; K#101010 BLACK; LG#289C18 LIGHT GREEN; VLG#86C67C VERY LIGHT GREEN;,yes,124,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11063,,,"Heidt, Katherine (Casey)",04/04/2014,Corporate,Yes. Only the University of North Texas and/or licensed vendors are allowed to produce/weave this tartan.,
Unnamed Brown (Teddy Bear),unnamed-brown-teddy-bear,R/2 T14 LT50 T14 R/2,R#DC0000 RED; T#503C14 BROWN; LT#BE7832 BROWN;,yes,160,2,Scottish Register of Tartans; Weddslist,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4411,2555,,,01/01/1997,Corporate,,
Unnamed Green (Teddy Bear),unnamed-green-teddy-bear,R/2 T6 G4 T6 R2 G48 R2 T6 G4 T6 R/2,R#DC0000 RED; T#503C14 BROWN; G#005020 MOD GREEN;,yes,172,2,Scottish Register of Tartans; Weddslist,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4427,2556,,,01/01/1997,Corporate,,
"Unnamed No 14 Tartan Tartan Number: 1326. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-14-tartan-tartan-number-1326-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,R/22 A6 B10 Y4 R4 W4 G22 B8 Y/3,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,141,2,House of Tartan; Weddslist,2/2,House of Tartan,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1326,,,,,,,
"Unnamed No 5 Tartan Tartan Number: 1257. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-5-tartan-tartan-number-1257-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,K/20 Y4 G22 R22 W2 R2 W2 K/18,K#101010 BLACK; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,146,2,House of Tartan; Weddslist,2/2,House of Tartan,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1257,,,,,,,
"Unnamed No 57 Tartan Tartan Number: 1317. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-57-tartan-tartan-number-1317-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,R/8 A8 B16 Y2 G24 R12 B4 R12 W2 R/12,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,180,2,House of Tartan; Weddslist,2/2,House of Tartan,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1317,,,,,,,
"Urquhart White Line Clan Tartan Tartan Number: 623. Earliest known date: 1842 Sample in Paton's collection. The Setts No: 249. Innes No 110. W & A K Johnston, 1906 It is interesting to note that much of the forged sixteenth century manuscript on which the Vestiarium Scoticum was based was supposedly transcribed by Sir Richard Urquhart in 1721. See products available Copyright © Blair Urquhart, Comrie, 2015",urquhart-white-line-clan-tartan-tartan-number-623-earliest-known-date-1842-sample-in-paton-s-collection-the-setts-no-249-innes-no-110-w-a-k-johnston-1906-it-is-interesting-to-note-that-much-of-the-forged-sixteenth-century-manuscript-on-which-the-vestiarium-scoticum-was-based-was-supposedly-transcribed-by-sir-richard-urquhart-in-1721-see-products-available-copyright-blair-urquhart-comrie-2015,B/4 W2 B24 K3 B3 K3 B8 K24 G48 K3 G3 R/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,248,2,House of Tartan; Weddslist,2/2,House of Tartan,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=623,,,,,,,
Utah,utah,W/6 RB18 DR18 RB12 DR18 DG54 DR18 W/12,DR#880000 DARK RED; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY; RB#1C0070 ROYAL BLUE; HG#285800 HUNTING GREEN; DG#003820 DARK GREEN; WW#F8F8F8 WILSON WHITE; W#E0E0E0 WHITE;,yes,294,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4826,2702,2702,"'Smith Jnr, Dr Philip D",01/01/1997,District,,
Utah State University,utah-state-university,W/14 K8 LB8 G42 K42 B90 LB14 B14 K14 B20 W/14,W#FFFFFF WHITE; K#101010 BLACK; LB#3CA7F7 LIGHT BLUE; G#0D671F GREEN; B#304FAA BLUE;,yes,532,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10817,,,"Pitts, Dr James",22/04/2013,Corporate,"Yes. This tartan may not be reproduced without the express written consent of Utah State University.Utah Trademark # 8309772-0190 James Pitts, Ph.D. Department of Biology Utah State University 5305 Old Main Hill Logan, UT 84322-5305 james.pitts@usu.edu",
Valencia,valencia,WW/2 DG36 R4 WW6 K2 A7 K2 WW2 R4 DG18 B16 WW2 R8 WW2 K22 R48 B8 K8 G64 DG16 R8 WW2 Y4 A7 WW6 Y36 DG12 K8 DG12 Y4 WW6 A7 WW6 Y4 K8 DG48 K8 DG8 B16 WW/4,DG#003820 DARK GREEN; A#5C8CA8 AZURE; WW#FCFCFC WILSON WHITE; K#101010 BLACK; Y#E8C000 YELLOW; R#C80000 BASIC RED; G#006818 GREEN; B#2C2C80 BLUE;,yes,976,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4982,,3890,"Feig, Maria Lluisa Luces",,Commemorative,,
Valley Forge Pipe Band,valley-forge-pipe-band,R/4 RB10 K10 G10 DW4 G10 K10 DW4 K4 DW8 K4 DW/4,DW#B0B0B0 SOFT WHITE; K#000000 BLACK; G#004C00 DARK GRN; RB#00008C BALMORAL; DR#8C0000 DARK RED; R#C80000 RED; L#1CC0CC BC;,yes,156,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4437,,4351,,01/01/2002,Corporate,,
Valley of the Green,valley-of-the-green,A/4 LG6 WG16 A16 WG16 G52 A/8,A#5C8CA8 AZURE; DG#003820 DARK GREEN; G#006818 GREEN; LG#289C18 LIGHT GREEN; WG#408060 WTHRD GREEN;,yes,224,2,Scottish Register of Tartans; Weddslist,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4438,148,148,Aljean of Vancouver,01/01/1968,District,,
Van Loo (Personal),van-loo-personal,LB/10 P4 B60 LB10 K50 B60 LB/10,K#101010 BLACK; B#2C2C80 BLUE; P#780078 PURPLE; LB#2888C4 LIGHT BLUE; AY#DC943C ANC YELLOW; LO#EC8048 LGT ORANGE;,yes,388,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,House of Tartan,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4440,,6717,"Coulton, Jan",01/01/2005,Name,Yes. A Personal tartan for the Van Loo family.,
Vance,vance,K/12 LB8 LG52 W8 LB96 DR/12,LB#2888C4 LIGHT BLUE; G#006818 GREEN; DR#880000 DARK RED; K#101010 BLACK; LN#C0C0C0 LIGHT GRAY; LG#289C18 LIGHT GREEN; W#E0E0E0 WHITE;,yes,352,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4441,2208,2208,"Vance, Mark W",16/09/1992,Clan; Family,,
Vancouver Centennial,vancouver-centennial,G/8 Y4 G48 W24 B52 R/2,R#FF0000 RED; B#0000CD BLUE; W#FFFFFF WHITE; G#008B00 GREEN; Y#FFE600 YELLOW;,yes,266,2,Scottish Register of Tartans; Weddslist,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4442,2083,2083,,01/01/1991,Commemorative,,
Varenne,varenne,DR/60 DN8 DR4 KK16 DR6 WW4 DR6 KK16 DR4 DN8 LT/64,DR#8C0000 DARK RED; DN#3C3C3C DARK GREY; KK#000000 BLACK; WW#C8C8C8 WHITE; LT#A0783C LIGHT TAN;,yes,268,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4443,,4350,West Coast Woolen Mill,01/01/2002,Fashion,,
Varrie,varrie,LB/220 B20 W20 Y/20,LB#2888C4 LIGHT BLUE; B#2C2C80 BLUE; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,320,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10113,,,"Bush-Futcher, Noelleen",20/11/2009,Name,Yes. Designed for weaving by House of Tartan.,
Venters (Edinburgh),venters-edinburgh,FB/30 NB110 W2 P10 R4 Y/2,NB#05132F RAITH NAVY; FB#3F4B60 FORTIES BLUE; P#3D2E60 HIGHLAND PURPLE; Y#D3CC20 OLD YELLOW; R#A90725 CHERRY RED; W#E5E0D2 MUTED WHITE;,yes,284,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10349,,,"Venters, Angus",03/01/2011,Name,,
Verble (Personal),verble-personal,G/48 Y12 K12 LB48 G12 Y12 K/12,LB#2888C4 LIGHT BLUE; FSB#2474E8 FS BLUE; K#101010 BLACK; G#006818 GREEN; Y#E8C000 YELLOW;,yes,252,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4447,,6659,"Verble, Austin Allen",01/03/2005,Name,,
Verdon,verdon,LG/8 K4 HG24 AK16 K12 HG12 LG4 HG12 K12 AK/144,HG#285800 HUNTING GREEN; AK#1C1C1C ANC BLACK; K#101010 BLACK; DG#003820 DARK GREEN; G#006818 GREEN; LG#289C18 LIGHT GREEN;,yes,344,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4448,,4349,Reis of Newhaven,01/01/1970,Fashion,,
Vermont Dress,vermont-dress,G/4 W4 G24 DB20 W24 R4 G4 MY/4,DB#202060 DARK BLUE; DR#880000 DARK RED; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY; MY#D09800 M YELLOW; R#C80000 RED; W#E0E0E0 WHITE;,yes,168,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4450,,4348,"Elliot, Andrew",01/01/1996,District,,
Veron,veron,W/4 SR4 DG4 W22 DG4 Y10 DG4 W10 DG62 W10 SR4 DG4 W/24,Y#E8C000 YELLOW; DG#003820 DARK GREEN; W#E0E0E0 WHITE; OT#603800 OLIVE BROWN; SR#A03400 SIENNA;,yes,304,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4451,,4347,West Coast Woolen Mill,01/01/1974,Fashion,,
VersaCold/Atlas,versacold-atlas,B/6 DN88 K18 DN20 K18 DN20 K18 DN88 R/6,LO#EC8048 LGT ORANGE; AY#DC943C ANC YELLOW; R#C80000 RED; DN#5C5C5C DARK GREY; K#101010 BLACK; B#2C2C80 BLUE; LRB#1474B4 BALMORAL BLUE;,yes,552,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5524,,7482,Janet Helm Presents,,Corporate,Yes. A Corporate tartan for the use of VersaCold & Atlas.,
Vetoclock,vetoclock,DN/220 LP6 N28 W2 P20 W2 N12 LP6 P8 DN/4,DN#505050 DARK GREY; LP#C49CD8 LIGHT PURPLE; N#A0A0A0 GREY; W#F8F8F8 WHITE; P#780078 PURPLE;,yes,392,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10885,,,"Gomez-Ochoa, Pablo",12/08/2013,Corporate,Yes. This tartan is intended for the use of Vetoclock.,
"Victoria, City of (British Columbia)",victoria-city-of-british-columbia,ZR/20 LG8 CLR8 K8 MY28 ZR/8,K#101010 BLACK; DR#880000 DARK RED; R#C80000 RED; LG#289C18 LIGHT GREEN; CLR#E87878 CORAL; MY#D09800 M YELLOW; ZR#A00000 RUST;,yes,132,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4458,,4344,"Armstrong, Alec & Edith",01/01/1991,District,,
"Victoria, County of (Texas, USA)",victoria-county-of-texas-usa,N/36 DW3 G3 DW3 R20 N3 A24 G32 MY3 R3 N3 A6 N6 R3 MY3 DW3 G6 DW3 MY3 A3 R/6,DR#880000 DARK RED; FSB#2474E8 FS BLUE; G#006818 GREEN; N#888888 GREY; DW#C0C0C0 LIGHT GRAY; MY#D09800 M YELLOW; R#C80000 RED; ALB#48A4C0 ANDERSON BLUE; A#5C8CA8 AZURE;,yes,308,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4459,,4343,"Martin, Bob",01/01/1986,District,,
Vilaro-Thomas (Personal),vilaro-thomas-personal,SB/4 W2 SB30 DB12 SB14 DB6 R2 DB6 SB6 DB52 Y/4,R#C80000 RED; DN#5C5C5C DARK GREY; N#888888 GRAY; K#101010 BLACK; W#E0E0E0 WHITE; SB#A8ACE8 SKY BLUE; DB#1C1C50 DARK BLUE; Y#E8C000 YELLOW;,yes,268,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5800,,7848,"Vilariño, Francisco & Thomas, Barbara",01/02/2008,Name,,
Vincent,vincent,DR/6 FSB24 DT24 FSB6 DT24 RB24 DT6 RB24 DR24 RB6 DR24 FSB24 DR/6,DR#8C0000 DARK RED; FSB#3474FC LIGHT BLUE; DT#3C2010 BROWN; RB#00008C BALMORAL;,yes,432,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4462,,4342,West Coast Woolen Mill,01/01/2002,Fashion,,
Virgin,virgin,K/6 N6 K8 R4 K20 R12 N4 R/102,R#E80000 BASIC RED; N#888888 GREY; K#101010 BLACK; SCR#C8002C SCARLET;,yes,216,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4465,2880,3915,"Randall, Erica",28/11/2001,Corporate,Yes. For the use of Virgin only,
Virginia International Tattoo Hixon,virginia-international-tattoo-hixon,LN/3 LB19 R8 B6 W6 B69 DB10 LN/8,LN#C8C8C8 LIGHT GREY; DB#000048 DARK BLUE; B#003C64 BLUE; W#FFFFFF WHITE; R#FF0000 RED; LB#1870A4 LIGHT BLUE;,yes,247,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10987,,,"Dunn, Alastair",09/12/2013,Corporate,,
Virtuoso,virtuoso,R/8 W8 K8 W8 K8 W8 K4 SB46 W/4,W#FFFFFF WHITE; SB#838B83 SILVER BIRCH; K#101010 BLACK; R#FF0000 SCARLET RED;,yes,192,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10082,,,"Macleod, Alasdair",09/09/2009,Corporate,"Yes. A corporate tartan for the use of Virtuoso, Ltd only.",
Voluntary Service Aberdeen,voluntary-service-aberdeen,N/8 W2 K70 DN2 NB4 LP8 W2 NB28 LP16 W/2,K#101010 BLACK; DN#5C5C5C DARK GREY; N#888888 GRAY; W#E0E0E0 WHITE; ER#A00CA0 MARROON; NB#003C64 NAVY BLUE; LP#984C90 MAUVE;,yes,274,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4470,,6995,"Wilton, Brian",01/08/2006,Corporate,Yes. A corporate tartan for Voluntary Services Aberdeen.,
"Vorwerk, The",vorwerk-the,G/40 B8 G8 LP8 DB5 LP13 K9 G40 R/4,K#101010 BLACK; LP#8C92C4 LILAC; G#036848 GREEN; B#005AA8 BLUE; R#AE0D2F RED; DB#36446B DARK BLUE;,yes,226,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10437,,,Kinloch Anderson,12/01/2011,Corporate,"Yes. Exclusively designed by Kinloch Anderson for Vorwerk. Restricted availability, please contact Kinloch Anderson regarding use.",
Vosko,vosko,RB/32 K16 MY8 K12 DR8 K12 MY8 K16 G/32,RB#1C0070 ROYAL BLUE; G#006818 GREEN; DR#880000 DARK RED; MY#D09800 M YELLOW; K#101010 BLACK; LN#C0C0C0 LIGHT GRAY; SB#A8ACE8 SKY BLUE; PH#6C0070 HEATHER;,yes,224,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4471,373,373,"Scarlett MBE, Jamie",01/01/2002,Clan; Family,,
